Location,Year,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,latitude,longitude
Afghanistan,2016,5.5,3.4,8.1,5.5[3.4-8.1],33.93911,67.709953
Albania,2016,21.7,17,26.7,21.7[17-26.7],41.153332,20.168331
Algeria,2016,27.4,22.5,32.7,27.4[22.5-32.7],28.033886,1.659626
Andorra,2016,25.6,20.1,31.3,25.6[20.1-31.3],42.546245,1.601554
Angola,2016,8.2,5.1,12.2,8.2[5.1-12.2],-11.202692,17.873887
Antigua and Barbuda,2016,18.9,13.8,24.6,18.9[13.8-24.6],17.060816,-61.796428
Argentina,2016,28.3,23.4,33.5,28.3[23.4-33.5],-38.416097,-63.616672
Armenia,2016,20.2,15.7,24.8,20.2[15.7-24.8],40.069099,45.038189
Australia,2016,29,25.3,32.9,29[25.3-32.9],-25.274398,133.775136
Austria,2016,20.1,15.9,24.6,20.1[15.9-24.6],47.516231,14.550072
Azerbaijan,2016,19.9,15.3,24.9,19.9[15.3-24.9],40.143105,47.576927
Bahamas,2016,31.6,25.6,37.8,31.6[25.6-37.8],25.03428,-77.39628
Bahrain,2016,29.8,24.6,35.2,29.8[24.6-35.2],25.930414,50.637772
Bangladesh,2016,3.6,2.4,5.1,3.6[2.4-5.1],23.684994,90.356331
Barbados,2016,23.1,18.3,28.4,23.1[18.3-28.4],13.193887,-59.543198
Belarus,2016,24.5,19.4,30,24.5[19.4-30],53.709807,27.953389
Belgium,2016,22.1,18.6,25.7,22.1[18.6-25.7],50.503887,4.469936
Belize,2016,24.1,19,29.8,24.1[19-29.8],17.189877,-88.49765
Benin,2016,9.6,7,12.6,9.6[7-12.6],9.30769,2.315834
Bhutan,2016,6.4,4.3,9,6.4[4.3-9],27.514162,90.433601
Bolivia (Plurinational State of),2016,20.2,15.4,25.4,20.2[15.4-25.4],-16.290154,-63.588653
Bosnia and Herzegovina,2016,17.9,13.9,22.3,17.9[13.9-22.3],43.915886,17.679076
Botswana,2016,18.9,14.6,23.5,18.9[14.6-23.5],-22.328474,24.684866
Brazil,2016,22.1,18.7,25.7,22.1[18.7-25.7],-14.235004,-51.92528
Brunei Darussalam,2016,14.1,10.5,18.3,14.1[10.5-18.3],4.535277,114.727669
Bulgaria,2016,25,19.7,30.5,25[19.7-30.5],42.733883,25.48583
Burkina Faso,2016,5.6,3.9,7.7,5.6[3.9-7.7],12.238333,-1.561593
Burundi,2016,5.4,3.5,7.9,5.4[3.5-7.9],-3.373056,29.918886
Cabo Verde,2016,11.8,8.4,15.5,11.8[8.4-15.5],16.002082,-24.013197
Cambodia,2016,3.9,2.5,5.6,3.9[2.5-5.6],12.565679,104.990963
Cameroon,2016,11.4,8.6,14.5,11.4[8.6-14.5],7.369722,12.354722
